Tijdstip;m3/s;kg CL / s
13-04-2003 00:00;9.143548344407407;19.104039539475917
14-04-2003 00:00;11.094304002765433;11.366114167513395
15-04-2003 00:00;8.085435468751893;11.286939160147734
16-04-2003 00:00;8.788170276630824;12.411900361498027
17-04-2003 00:00;8.252718814051724;16.038762179586655
18-04-2003 00:00;9.017482214749624;16.322210643594943
19-04-2003 00:00;9.773171157056677;18.744511841505496
20-04-2003 00:00;8.815505897734567;18.307644030230882
21-04-2003 00:00;7.831958710351854;15.044831290397399
22-04-2003 00:00;8.613995336407404;10.223836242572252
23-04-2003 00:00;9.75937270998148;15.824561217374958
24-04-2003 00:00;9.640194448277777;14.43464728257633
25-04-2003 00:00;11.007129598401708;17.585839617001792
26-04-2003 00:00;8.684923507042736;21.10384493385693
27-04-2003 00:00;8.916132257296297;15.864803482820172
