Tijdstip;Bathse spuisluis;Bergse diepsluis;Krammersluizen;Kwel_Krammer_Volkerak_West;Kwel_Eendracht_Noord;Kwel_Eendracht_Zuid;Kwel_Zoommeer;Kwel_Zoommeer_Zuid
;g NaCL/s;g NaCL / S;g NaCL / S;g NaCL / S;g NaCL / S;g NaCL / S;g NaCL / S;g NaCL / S
2018-01-25 00:00;100.0;500.0;5818.287045221857;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-26 00:00;100.0;500.0;6030.910306375726;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-27 00:00;100.0;500.0;4624.234246097181;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-28 00:00;100.0;500.0;4582.071316445256;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-29 00:00;100.0;500.0;5805.313020202756;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-30 00:00;100.0;500.0;5598.952575030468;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-01-31 00:00;100.0;500.0;5156.532542374879;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-01 00:00;100.0;500.0;4558.005052206521;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-02 00:00;100.0;500.0;4812.4242414563505;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-03 00:00;100.0;500.0;5710.939626434247;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-04 00:00;100.0;500.0;4968.24156623233;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-05 00:00;100.0;500.0;3305.164275100541;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-06 00:00;100.0;500.0;4807.335872508849;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-07 00:00;100.0;500.0;5754.21797809529;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-08 00:00;100.0;500.0;5911.922869265215;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-09 00:00;100.0;500.0;5330.8001167960565;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-10 00:00;100.0;500.0;4470.589303585716;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-11 00:00;100.0;500.0;3083.9734797231563;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-12 00:00;100.0;500.0;3539.7048012133996;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-13 00:00;100.0;500.0;5779.277453398161;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-14 00:00;100.0;500.0;5913.458729844465;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-15 00:00;100.0;500.0;4002.872589573652;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-16 00:00;100.0;500.0;5644.024961297692;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-17 00:00;100.0;500.0;3279.4306708750346;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-18 00:00;100.0;500.0;3928.6909806640897;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-19 00:00;100.0;500.0;3495.066933782793;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
2018-02-20 00:00;100.0;500.0;4863.223473893803;899.9999999999999;300.00000000000006;300.00000000000006;750.0;750.0
