Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l
767;428.4695129394531;483.9851379394531;526.9261474609375;574.1593017578125;563.3309326171875;596.6237182617188;634.844482421875;649.1229248046875;648.5952758789062;990.7346801757812;550.1865844726562
768;426.77716064453125;482.1340637207031;524.9851684570312;572.1611938476562;561.0243530273438;593.9169921875;631.7589111328125;645.9674682617188;645.3269653320312;988.6322631835938;547.48828125
769;404.0677795410156;455.5676574707031;495.3922119140625;539.7167358398438;506.0068664550781;514.9619750976562;526.100341796875;532.09228515625;531.6519165039062;967.9091796875;493.3374328613281
770;402.4739990234375;453.82464599609375;493.5652160644531;537.8185424804688;503.732666015625;512.3793334960938;522.7268676757812;528.6343383789062;528.0542602539062;965.9321899414062;490.792724609375
771;404.0677795410156;455.5676574707031;495.3922119140625;539.7167358398438;506.0068664550781;514.9619750976562;526.100341796875;532.09228515625;531.6519165039062;967.9091796875;493.3374328613281
772;402.4739990234375;453.82464599609375;493.5652160644531;537.8185424804688;503.732666015625;512.3793334960938;522.7268676757812;528.6343383789062;528.0542602539062;965.9321899414062;490.792724609375
773;427.67388916015625;483.0289611816406;525.8008422851562;572.74951171875;562.39208984375;595.7404174804688;633.9760131835938;648.2608642578125;647.7394409179688;1000.7535400390625;549.1260986328125
774;426.0054931640625;481.20599365234375;523.8914794921875;570.786376953125;560.1279296875;593.0953979492188;630.9739379882812;645.1908569335938;644.5595092773438;998.6842651367188;546.4779052734375
775;427.67388916015625;483.0289611816406;525.8008422851562;572.74951171875;562.39208984375;595.7404174804688;633.9760131835938;648.2608642578125;647.7394409179688;1000.7535400390625;549.1260986328125
776;426.0054931640625;481.20599365234375;523.8914794921875;570.786376953125;560.1279296875;593.0953979492188;630.9739379882812;645.1908569335938;644.5595092773438;998.6842651367188;546.4779052734375
