Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l
350;525.896240234375;575.647216796875;614.435791015625;657.0802612304688;673.8494873046875;752.649658203125;837.627197265625;856.4420166015625;858.3280029296875;1068.6185302734375;635.7781372070312
351;528.37841796875;578.3213500976562;617.25830078125;659.9468994140625;677.4041137695312;755.4600830078125;841.3292846679688;860.261962890625;862.6602172851562;1071.389892578125;639.525634765625
352;525.896240234375;575.647216796875;614.435791015625;657.0802612304688;673.8494873046875;752.649658203125;837.627197265625;856.4420166015625;858.3280029296875;1068.6185302734375;635.7781372070312
353;402.0094299316406;452.87713623046875;492.2347106933594;536.043212890625;504.8143615722656;522.6104125976562;573.1876220703125;583.5787963867188;592.6961669921875;948.1407470703125;492.94061279296875
354;400.5152587890625;451.24041748046875;490.51544189453125;534.2723999023438;502.6817932128906;520.5258178710938;571.1756591796875;581.471435546875;590.18212890625;946.2672729492188;490.5239562988281
355;402.0094299316406;452.87713623046875;492.2347106933594;536.043212890625;504.8143615722656;522.6104125976562;573.1876220703125;583.5787963867188;592.6961669921875;948.1407470703125;492.94061279296875
356;400.5152587890625;451.24041748046875;490.51544189453125;534.2723999023438;502.6817932128906;520.5258178710938;571.1756591796875;581.471435546875;590.18212890625;946.2672729492188;490.5239562988281
357;426.446044921875;481.25640869140625;523.6142578125;570.1202392578125;562.8682250976562;645.5398559570312;728.381591796875;747.1474609375;750.2450561523438;982.0938720703125;550.6122436523438
358;424.8818664550781;479.5448913574219;521.8179931640625;568.2693481445312;560.74951171875;644.2196044921875;726.0868530273438;744.7429809570312;747.4486694335938;980.13134765625;548.0880737304688
359;426.446044921875;481.25640869140625;523.6142578125;570.1202392578125;562.8682250976562;645.5398559570312;728.381591796875;747.1474609375;750.2450561523438;982.0938720703125;550.6122436523438
360;424.8818664550781;479.5448913574219;521.8179931640625;568.2693481445312;560.74951171875;644.2196044921875;726.0868530273438;744.7429809570312;747.4486694335938;980.13134765625;548.0880737304688
361;400.8462829589844;451.59521484375;490.84674072265625;534.5128173828125;503.36065673828125;521.4415283203125;572.4974365234375;582.8472900390625;591.8489990234375;949.387451171875;491.49468994140625
362;399.3341064453125;449.94091796875;489.11083984375;532.7262573242188;501.21746826171875;519.3485107421875;570.4569091796875;580.7114868164062;589.3050537109375;947.498046875;489.0748596191406
363;400.8462829589844;451.59521484375;490.84674072265625;534.5128173828125;503.36065673828125;521.4415283203125;572.4974365234375;582.8472900390625;591.8489990234375;949.387451171875;491.49468994140625
364;399.3341064453125;449.94091796875;489.11083984375;532.7262573242188;501.21746826171875;519.3485107421875;570.4569091796875;580.7114868164062;589.3050537109375;947.498046875;489.0748596191406
365;425.2802429199219;479.9712829589844;522.22265625;568.5861206054688;561.3970336914062;645.6779174804688;727.9347534179688;746.6435546875;749.5968627929688;983.3380737304688;549.1371459960938
366;423.6988830566406;478.2429504394531;520.4105834960938;566.7202758789062;559.8506469726562;644.3167114257812;725.607177734375;744.2467041015625;746.76318359375;981.3607177734375;546.6133422851562
367;425.2802429199219;479.9712829589844;522.22265625;568.5861206054688;561.3970336914062;645.6779174804688;727.9347534179688;746.6435546875;749.5968627929688;983.3380737304688;549.1371459960938
368;423.6988830566406;478.2429504394531;520.4105834960938;566.7202758789062;559.8506469726562;644.3167114257812;725.607177734375;744.2467041015625;746.76318359375;981.3607177734375;546.6133422851562
369;405.6649169921875;457.3956604003906;497.30255126953125;541.6624755859375;508.9218444824219;524.9295654296875;572.79736328125;583.4017944335938;593.2329711914062;980.5238037109375;496.4546813964844
370;404.0862121582031;455.6744384765625;495.5025329589844;539.795166015625;506.6778869628906;522.7570190429688;570.7467651367188;581.249267578125;590.6383666992188;978.5652465820312;493.93743896484375
371;405.6649169921875;457.3956604003906;497.30255126953125;541.6624755859375;508.9218444824219;524.9295654296875;572.79736328125;583.4017944335938;593.2329711914062;980.5238037109375;496.4546813964844
372;404.0862121582031;455.6744384765625;495.5025329589844;539.795166015625;506.6778869628906;522.7570190429688;570.7467651367188;581.249267578125;590.6383666992188;978.5652465820312;493.93743896484375
373;430.09515380859375;485.7669372558594;528.6728515625;575.6901245117188;566.877197265625;642.41552734375;727.0401611328125;745.9974975585938;749.7020874023438;1014.4720458984375;554.0540161132812
374;428.4447937011719;483.9690246582031;526.793701171875;573.7403564453125;564.6409301757812;641.1384887695312;724.7059936523438;743.595458984375;746.9258422851562;1012.4221801757812;551.4235229492188
375;430.09515380859375;485.7669372558594;528.6728515625;575.6901245117188;566.877197265625;642.41552734375;727.0401611328125;745.9974975585938;749.7020874023438;1014.4720458984375;554.0540161132812
376;428.4447937011719;483.9690246582031;526.793701171875;573.7403564453125;564.6409301757812;641.1384887695312;724.7059936523438;743.595458984375;746.9258422851562;1012.4221801757812;551.4235229492188
377;406.7923583984375;458.6793212890625;498.7209167480469;543.25830078125;510.2672424316406;526.1015625;574.2047119140625;584.7977905273438;594.5847778320312;982.5858764648438;497.73980712890625
378;405.2207946777344;456.96575927734375;496.9284973144531;541.398193359375;508.0312805175781;523.934814453125;572.1567993164062;582.6434936523438;592.00341796875;980.6356201171875;495.2281494140625
379;406.7923583984375;458.6793212890625;498.7209167480469;543.25830078125;510.2672424316406;526.1015625;574.2047119140625;584.7977905273438;594.5847778320312;982.5858764648438;497.73980712890625
380;405.2207946777344;456.96575927734375;496.9284973144531;541.398193359375;508.0312805175781;523.934814453125;572.1567993164062;582.6434936523438;592.00341796875;980.6356201171875;495.2281494140625
381;431.2249450683594;487.0533142089844;530.0941162109375;577.2894287109375;568.2233276367188;644.03955078125;728.6423950195312;747.6249389648438;751.2335205078125;1016.5369262695312;555.3524780273438
382;429.5818176269531;485.2630920410156;528.2225952148438;575.3468627929688;565.9940185546875;642.7546997070312;726.3444213867188;745.2094116210938;748.4406127929688;1014.495361328125;552.7255859375
383;431.2249450683594;487.0533142089844;530.0941162109375;577.2894287109375;568.2233276367188;644.03955078125;728.6423950195312;747.6249389648438;751.2335205078125;1016.5369262695312;555.3524780273438
384;429.5818176269531;485.2630920410156;528.2225952148438;575.3468627929688;565.9940185546875;642.7546997070312;726.3444213867188;745.2094116210938;748.4406127929688;1014.495361328125;552.7255859375
385;407.2669677734375;459.1168212890625;499.101318359375;543.5037841796875;510.9120788574219;526.8099365234375;575.0319213867188;585.6156616210938;595.3580322265625;980.4532470703125;498.3586120605469
386;405.7220153808594;457.4331359863281;497.3402404785156;541.6776733398438;508.70208740234375;524.6609497070312;572.98974609375;583.4718627929688;592.7730102539062;978.5300903320312;495.86749267578125
387;407.2669677734375;459.1168212890625;499.101318359375;543.5037841796875;510.9120788574219;526.8099365234375;575.0319213867188;585.6156616210938;595.3580322265625;980.4532470703125;498.3586120605469
388;405.7220153808594;457.4331359863281;497.3402404785156;541.6776733398438;508.70208740234375;524.6609497070312;572.98974609375;583.4718627929688;592.7730102539062;978.5300903320312;495.86749267578125
389;431.7001647949219;487.49176025390625;530.4757690429688;577.5355224609375;568.9061889648438;644.91259765625;729.407470703125;748.3829345703125;751.983642578125;1014.4044189453125;555.9873046875
