Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP
11;-0.12116287862016062;-0.12116287862015981;-0.12116287862015974;-0.12116287862015941;-0.12116287862016048;-0.12116287862016048;-0.12116287862015998;-0.12116287862016037;-0.12116287862015888;-0.1;-0.12116287862015945
12;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
13;-0.12116287862016062;-0.12116287862015981;-0.12116287862015974;-0.12116287862015941;-0.12116287862016048;-0.12116287862016048;-0.12116287862015998;-0.12116287862016037;-0.12116287862015888;-0.1;-0.12116287862015945
14;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
15;-0.12116287862016062;-0.12116287862015981;-0.12116287862015974;-0.12116287862015941;-0.12116287862016048;-0.12116287862016048;-0.12116287862015998;-0.12116287862016037;-0.12116287862015888;-0.1;-0.12116287862015945
16;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
17;-0.12291113386572301;-0.12291113386572339;-0.12291113386572267;-0.12291113386572365;-0.12291113386572258;-0.12291113386572258;-0.1229111338657246;-0.12291113386572301;-0.12291113386572339;-0.1;-0.12291113386572335
18;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
19;-0.12291113386572301;-0.12291113386572339;-0.12291113386572267;-0.12291113386572365;-0.12291113386572258;-0.12291113386572258;-0.1229111338657246;-0.12291113386572301;-0.12291113386572339;-0.1;-0.12291113386572335
20;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
21;-0.12291113386572301;-0.12291113386572339;-0.12291113386572267;-0.12291113386572365;-0.12291113386572258;-0.12291113386572258;-0.1229111338657246;-0.12291113386572301;-0.12291113386572339;-0.1;-0.12291113386572335
22;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
23;-0.12291113386572301;-0.12291113386572339;-0.12291113386572267;-0.12291113386572365;-0.12291113386572258;-0.12291113386572258;-0.1229111338657246;-0.12291113386572301;-0.12291113386572339;-0.1;-0.12291113386572335
24;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
25;-0.12297559345433315;-0.12297559345433302;-0.1229755934543323;-0.12297559345433329;-0.12297559345433436;-0.12297559345433436;-0.12297559345433291;-0.12297559345433265;-0.12297559345433365;-0.1;-0.1229755934543334
26;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
27;-0.12297559345433315;-0.12297559345433302;-0.1229755934543323;-0.12297559345433329;-0.12297559345433436;-0.12297559345433436;-0.12297559345433291;-0.12297559345433265;-0.12297559345433365;-0.1;-0.1229755934543334
28;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
29;-0.12297559345433315;-0.12297559345433302;-0.1229755934543323;-0.12297559345433329;-0.12297559345433436;-0.12297559345433436;-0.12297559345433291;-0.12297559345433265;-0.12297559345433365;-0.1;-0.1229755934543334
30;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
31;-0.12297559345433315;-0.12297559345433302;-0.1229755934543323;-0.12297559345433329;-0.12297559345433436;-0.12297559345433436;-0.12297559345433291;-0.12297559345433265;-0.12297559345433365;-0.1;-0.1229755934543334
32;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
33;-0.12309163677276373;-0.12309163677276391;-0.12309163677276384;-0.12309163677276351;-0.12309163677276246;-0.12309163677276246;-0.12309163677276583;-0.12309163677276373;-0.12309163677276361;-0.1;-0.12309163677276393
34;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
