DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
757,19511231,   29,     ,
757,19520101,    0,     ,
757,19520102,   60,     ,
757,19520103,   75,     ,
757,19520104,   13,     ,
757,19520105,   12,     ,
757,19520106,    0,     ,
757,19520107,    0,     ,
757,19520108,    0,     ,
757,19520109,   28,     ,
757,19520110,   34,     ,
757,19520111,  100,     ,
757,19520112,   32,     ,
757,19520113,   25,     ,
757,19520114,   56,     ,
757,19520115,    0,     ,
757,19520116,    7,     ,
757,19520117,   67,     ,
757,19520118,   86,     ,
757,19520119,   46,     ,
757,19520120,   29,     ,
757,19520121,   28,     ,
757,19520122,    0,     ,
757,19520123,    0,     ,
757,19520124,    0,     ,
757,19520125,    0,     ,
757,19520126,    0,     ,
757,19520127,  120,     ,
757,19520128,    0,     ,
757,19520129,    0,     ,
757,19520130,    0,     ,
757,19520131,   41,     ,
757,19520201,   90,     ,
757,19520202,   14,     ,
757,19520203,    8,     ,
757,19520204,   51,     ,
757,19520205,   12,     ,
757,19520206,    0,     ,
757,19520207,   12,     ,
757,19520208,    6,     ,
757,19520209,   44,     ,
757,19520210,   80,     ,
757,19520211,  134,     ,
757,19520212,   13,     ,
757,19520213,   12,     ,
757,19520214,    0,     ,
757,19520215,    0,     ,
757,19520216,    0,     ,
757,19520217,    0,     ,
757,19520218,   45,     ,
757,19520219,    0,     ,
757,19520220,    4,     ,
757,19520221,    0,     ,
757,19520222,    0,     ,
757,19520223,    0,     ,
757,19520224,    0,     ,
757,19520225,    0,     ,
757,19520226,    0,     ,
757,19520227,    0,     ,
757,19520228,    0,     ,
757,19520229,    0,     ,
757,19520301,    8,     ,
757,19520302,    0,     ,
757,19520303,    0,     ,
757,19520304,    0,     ,
757,19520305,   97,     ,
757,19520306,   12,     ,
757,19520307,    0,     ,
757,19520308,   66,     ,
757,19520309,    3,     ,
757,19520310,   41,     ,
757,19520311,    0,     ,
757,19520312,    0,     ,
757,19520313,    0,     ,
757,19520314,    0,     ,
757,19520315,    0,     ,
757,19520316,    0,     ,
757,19520317,    0,     ,
757,19520318,  112,     ,
757,19520319,   85,     ,
757,19520320,    0,     ,
757,19520321,   27,     ,
757,19520322,   63,     ,
757,19520323,    5,     ,
757,19520324,   17,     ,
757,19520325,   15,     ,
757,19520326,   10,     ,
757,19520327,   15,     ,
757,19520328,    0,     ,
757,19520329,    5,     ,
757,19520330,   90,     ,
757,19520331,   37,     ,
757,19520401,    0,     ,
757,19520402,    0,     ,
757,19520403,    0,     ,
