Tijdstip;I;II;III;IV;V;VI;VII;VIII;IX;X
;m3;m3;m3;m3;m3;m3;m3;m3;m3
2018-05-19 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-20 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-21 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-22 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-23 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-24 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-25 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-26 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-27 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-28 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-29 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-30 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-05-31 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-01 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-02 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-03 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-04 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-05 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-06 00:00;74700000.0;39840000.0;32370000.000000004;69720000.0;12215000.0;12215000.0;84830000.0;12450000.000000002;5970000.0;3450000.0
2018-06-07 00:00;74695576.94800618;39837641.03893663;32368083.344136015;69715871.8181391;12214483.977267388;12214483.977267388;84827493.60387018;12449262.824667698;5969557.694800618;3450000.0
